Scenario_ID,Scenario_Name,Category,Axis_G,Axis_E,Axis_T,Axis_L,Axis_H,Axis_V,Axis_R,Axis_F,Axis_W,Curve_G,Curve_E,Curve_T,Curve_L,Curve_H,Curve_V,Curve_R,Curve_F,Curve_W,Impact_Rule_1_Condition,Impact_Rule_1_Value,Impact_Rule_2_Condition,Impact_Rule_2_Value,Impact_Rule_3_Condition,Impact_Rule_3_Value,Impact_Default,Description
IP_Theft,Intellectual Property Theft,Data Loss & Exfiltration,0.0,0.0,0.3,0.0,0.0,0.4,0.15,0.0,0.15,standard,standard,threshold,standard,logarithmic,threshold,standard,standard,logarithmic,High-IP OR Technology,5,Manufacturing OR Pharma,4,Enterprise (5000+),+1,2,"Malicious insider exfiltrates proprietary source code, trade secrets, or designs"
Customer_Data_Breach,Customer Data Breach (PII/PHI),Data Loss & Exfiltration,0.0,0.1,0.25,0.25,0.05,0.35,0.0,0.0,0.0,standard,standard,threshold,threshold,logarithmic,standard,standard,standard,logarithmic,Healthcare OR Financial Services,5,High-PII OR NIS2-Essential,5,DORA-Inscope,4,3,Unauthorized access or disclosure of customer PII/PHI resulting in regulatory breach
Shadow_IT_Leakage,Unapproved Tool Data Leakage (incl. GenAI),Data Loss & Exfiltration,0.0,0.2,0.15,0.0,0.0,0.3,0.0,0.35,0.0,standard,logarithmic,standard,standard,logarithmic,standard,standard,threshold,logarithmic,High-IP OR Technology,5,Healthcare OR Legal,5,Financial Services OR High-PII,4,3,Employees paste sensitive data into unapproved SaaS/GenAI tools without realizing data leaves control
Accidental_Exposure,Accidental Data Exposure,Data Loss & Exfiltration,0.0,0.2,0.3,0.0,0.4,0.1,0.0,0.0,0.0,standard,standard,threshold,standard,logarithmic,standard,standard,standard,logarithmic,High-PII OR Healthcare,5,Financial Services,4,,0,3,"Non-malicious disclosure via misconfiguration, oversharing, or misdirected communication"
Privileged_Abuse,Privileged Account Abuse,Access & Privilege Abuse,0.15,0.3,0.35,0.0,0.0,0.2,0.0,0.0,0.0,logarithmic,standard,threshold,standard,logarithmic,standard,standard,standard,logarithmic,Healthcare OR Financial Services,5,NIS2-Essential OR DORA-Inscope,5,High-PII,4,3,Sysadmins or DBAs access sensitive data without business need or authorization
Post_Termination_Access,Post-Termination Access Risk,Access & Privilege Abuse,0.0,0.5,0.25,0.0,0.0,0.15,0.0,0.0,0.1,standard,threshold,standard,standard,logarithmic,standard,standard,standard,logarithmic,Enterprise (5000+),5,Mid-Market (250-4999),3,,0,2,Former employees or contractors retain active accounts after departure
SoD_Violations,Segregation of Duties Violations,Access & Privilege Abuse,0.4,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,standard,threshold,threshold,standard,logarithmic,standard,standard,standard,logarithmic,Financial Services OR NIS2-Essential,5,Public-Company,4,,0,3,Single individual can both execute AND approve high-risk transactions
Insider_Sabotage,Insider Sabotage (Intentional),Operational Disruption,0.0,0.05,0.2,0.0,0.15,0.25,0.35,0.0,0.0,standard,standard,threshold,standard,logarithmic,standard,threshold,standard,logarithmic,NIS2-Essential OR Critical-Infrastructure,5,Enterprise (5000+),4,,0,3,Disgruntled employee intentionally damages systems or data as retaliation
Regulatory_Compliance,Regulatory Non-Compliance (Insider Risk),Compliance & Legal Exposure,0.3,0.2,0.0,0.4,0.1,0.0,0.0,0.0,0.0,standard,standard,standard,threshold,logarithmic,standard,standard,standard,logarithmic,NIS2-Essential OR DORA-Inscope,5,NIS2-Important,4,Public-Company OR Healthcare,4,2,"Failure to meet NIS2, DORA, or GDPR requirements for insider risk controls"
Third_Party_Abuse,Third-Party Access Abuse,Third-Party & Supply Chain,0.15,0.3,0.2,0.0,0.0,0.35,0.0,0.0,0.0,standard,threshold,standard,standard,logarithmic,standard,standard,standard,logarithmic,Financial Services OR Healthcare,5,NIS2-Essential,4,,0,3,"Contractors, vendors, or MSPs misuse access to client systems or data"
